Part,Quantity,Price Per,Link
Seeduino Xiao,1,4.68,https://www.digikey.com/short/d3zzwm59
Slide Switch,1,0.65,https://www.digikey.com/short/p00mmw27
0.1uF C 0603,5,0.08,https://www.digikey.com/short/3rn2v9pz
330ohm R 0603,1,0.10,https://www.digikey.com/short/2qztp77r
Neopixel LED 10pcs,1,2.95,https://www.digikey.com/short/n79w9mvw
Cherry MX Blue 60g,1,0.38,https://mechanicalkeyboards.com/products/cherry-mx-blue-60g-clicky?variant=48007305003308
Cherry MX2A Red,1,0.38,https://mechanicalkeyboards.com/products/cherry-mx2a-red-45g-linear?variant=48020634239276
Cherry MX2A Black,1,0.38,https://mechanicalkeyboards.com/products/cherry-mx2a-black-60g-linear?variant=48014721253676
Cherry MX2A Brown,1,0.38,https://mechanicalkeyboards.com/products/cherry-mx2a-brown-55g-tactile?variant=48020838383916
Cherry MX Blue 60g,1,0.38,https://mechanicalkeyboards.com/products/cherry-mx-blue-60g-clicky?variant=48007305003308
DSA Keycaps,5,Handled,
1x7 Male Headers,2,Handled,
,,,
Service,Price,,
JLCPCB Order,8.52,,
DigiKey Order,16.92,,
MechanicalKeyboards Order,12.54,,
GRAND TOTAL,37.98,,